Name;Team;Number;Position;Age;Height;Weight
Axel Toupane;Denver Nuggets;6.0;SG;23.0;6-7;210.0
Gorgui Dieng;Minnesota Timberwolves;5.0;C;26.0;6-11;241.0
Kevin Garnett;Minnesota Timberwolves;21.0;PF;40.0;6-11;240.0
Tyus Jones;Minnesota Timberwolves;1.0;PG;20.0;6-2;195.0
Zach LaVine;Minnesota Timberwolves;8.0;PG;21.0;6-5;189.0
Shabazz Muhammad;Minnesota Timberwolves;15.0;SF;23.0;6-6;223.0
Adreian Payne;Minnesota Timberwolves;33.0;PF;25.0;6-10;237.0
Nikola Pekovic;Minnesota Timberwolves;14.0;C;30.0;6-11;307.0
Tayshaun Prince;Minnesota Timberwolves;12.0;SF;36.0;6-9;212.0
Ricky Rubio;Minnesota Timberwolves;9.0;PG;25.0;6-4;194.0
Damjan Rudez;Minnesota Timberwolves;10.0;SF;29.0;6-9;230.0
Greg Smith;Minnesota Timberwolves;4.0;PF;25.0;6-10;250.0
Karl-Anthony Towns;Minnesota Timberwolves;32.0;C;20.0;7-0;244.0
Andrew Wiggins;Minnesota Timberwolves;22.0;SG;21.0;6-8;199.0
Steven Adams;Oklahoma City Thunder;12.0;C;22.0;7-0;255.0
Nick Collison;Oklahoma City Thunder;4.0;PF;35.0;6-10;255.0
Kevin Durant;Oklahoma City Thunder;35.0;SF;27.0;6-9;240.0
Randy Foye;Oklahoma City Thunder;6.0;SG;32.0;6-4;213.0
Josh Huestis;Oklahoma City Thunder;34.0;SF;24.0;6-7;230.0
Serge Ibaka;Oklahoma City Thunder;9.0;PF;26.0;6-10;245.0
Enes Kanter;Oklahoma City Thunder;11.0;C;24.0;6-11;245.0
Mitch McGary;Oklahoma City Thunder;33.0;PF;24.0;6-10;255.0
Nazr Mohammed;Oklahoma City Thunder;13.0;C;38.0;6-10;250.0
Anthony Morrow;Oklahoma City Thunder;2.0;SG;30.0;6-5;210.0
Cameron Payne;Oklahoma City Thunder;22.0;PG;21.0;6-3;185.0
Andre Roberson;Oklahoma City Thunder;21.0;SG;24.0;6-7;210.0
Kyle Singler;Oklahoma City Thunder;5.0;SF;28.0;6-8;228.0
Russell Westbrook;Oklahoma City Thunder;0.0;PG;27.0;6-3;200.0
Cliff Alexander;Portland Trail Blazers;34.0;PF;20.0;6-8;240.0
Al-Farouq Aminu;Portland Trail Blazers;8.0;SF;25.0;6-9;215.0
Pat Connaughton;Portland Trail Blazers;5.0;SG;23.0;6-5;206.0
Allen Crabbe;Portland Trail Blazers;23.0;SG;24.0;6-6;210.0
Ed Davis;Portland Trail Blazers;17.0;C;27.0;6-10;240.0
Maurice Harkless;Portland Trail Blazers;4.0;SF;23.0;6-9;215.0
Gerald Henderson;Portland Trail Blazers;9.0;SG;28.0;6-5;215.0
Chris Kaman;Portland Trail Blazers;35.0;C;34.0;7-0;265.0
Meyers Leonard;Portland Trail Blazers;11.0;PF;24.0;7-1;245.0
Damian Lillard;Portland Trail Blazers;0.0;PG;25.0;6-3;195.0
C.J. McCollum;Portland Trail Blazers;3.0;SG;24.0;6-4;200.0
Luis Montero;Portland Trail Blazers;44.0;SG;23.0;6-7;185.0
Mason Plumlee;Portland Trail Blazers;24.0;C;26.0;6-11;235.0
Brian Roberts;Portland Trail Blazers;2.0;PG;30.0;6-1;173.0
Noah Vonleh;Portland Trail Blazers;21.0;PF;20.0;6-9;240.0
Trevor Booker;Utah Jazz;33.0;PF;28.0;6-8;228.0
Trey Burke;Utah Jazz;3.0;PG;23.0;6-1;191.0
Alec Burks;Utah Jazz;10.0;SG;24.0;6-6;214.0
Dante Exum;Utah Jazz;11.0;PG;20.0;6-6;190.0
Derrick Favors;Utah Jazz;15.0;PF;24.0;6-10;265.0
Rudy Gobert;Utah Jazz;27.0;C;23.0;7-1;245.0
Rodney Hood;Utah Jazz;5.0;SG;23.0;6-8;206.0
Joe Ingles;Utah Jazz;2.0;SF;28.0;6-8;226.0
Chris Johnson;Utah Jazz;23.0;SF;26.0;6-6;206.0
Trey Lyles;Utah Jazz;41.0;PF;20.0;6-10;234.0
Shelvin Mack;Utah Jazz;8.0;PG;26.0;6-3;203.0
Raul Neto;Utah Jazz;25.0;PG;24.0;6-1;179.0
Tibor Pleiss;Utah Jazz;21.0;C;26.0;7-3;256.0
